,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
30,2008,31,2008-05-10,31st match,Chennai Super Kings,Kings XI Punjab,Chennai,MA Chidambaram Stadium,Kings XI Punjab,bowl,Albie Morkel,MS Dhoni (c & wk),S Badrinath,Stephen Fleming,Suresh Raina,Vidyut Sivaramakrishnan,Muttiah Muralitharan, Manpreet Gony, Chamara Kapugedera, Lakshmipathy Balaji, Palani Amarnath,Vikram Singh,Uday Kaul (wk),S Sreesanth,Piyush Chawla,Irfan Pathan,Mahela Jayawardene,Shaun Marsh,Yuvraj Singh (c),Ramnaresh Sarwan,Karan Goel,James Hopes,1,18.0,0
31,2008,32,2008-05-11,32nd match,Deccan Chargers,Kolkata Knight Riders,Hyderabad,Rajiv Gandhi International Stadium,Kolkata Knight Riders,bat,Laxmi Shukla,Tatenda Taibu,David Hussey,Sourav Ganguly (c),Salman Butt,Aakash Chopra,Ashok Dinda, Ishant Sharma, Umar Gul, Wriddhiman Saha, Murali Kartik,RP Singh,Chaminda Vaas,Venugopal Rao,Sanjay Bangar,Scott Styris,Adam Gilchrist (c & wk),Rohit Sharma,Dwaraka Ravi Teja,Herschelle Gibbs,Pragyan Ojha, Paidikalva Vijaykumar,0,23.0,0
32,2008,33,2008-05-11,33rd match,Rajasthan Royals,Delhi Daredevils,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,bowl,Farveez Maharoof,Amit Mishra,Dinesh Karthik (wk),Tillakaratne Dilshan,Shikhar Dhawan,AB de Villiers,Virender Sehwag (c),Gautam Gambhir,Yo Mahesh,Pradeep Sangwan, Glenn McGrath,Mahesh Rawat (wk),Shane Warne (c),Niraj Patel,Dimitri Mascarenhas,Ravindra Jadeja,Shane Watson,Mohammad Kaif,Graeme Smith,Yusuf Pathan,Siddharth Trivedi, Munaf Patel,1,0,3.0
33,2008,34,2008-05-12,34th match,Kings XI Punjab,Royal Challengers Bangalore,Mohali,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,bat,Anil Kumble,Zaheer Khan,Praveen Kumar,Rahul Dravid (c),Misbah-ul-Haq,Cameron White,Virat Kohli,Jagadeesh Arunkumar,Vinay Kumar,Mark Boucher (wk),Dale Steyn,Luke Pomersbach,James Hopes,Shaun Marsh,Uday Kaul, S Sreesanth, Piyush Chawla, Irfan Pathan, Tanmay Srivastava, Mahela Jayawardene, Yuvraj Singh, Vikram Singh,1,0,9.0
34,2008,35,2008-05-13,35th match,Kolkata Knight Riders,Delhi Daredevils,Kolkata,Eden Gardens,Kolkata Knight Riders,bat,Iqbal Abdulla,Wriddhiman Saha (wk),Tatenda Taibu,Laxmi Shukla,David Hussey,Aakash Chopra,Sourav Ganguly (c),Salman Butt,Shoaib Akhtar, Ishant Sharma, Ashok Dinda,Glenn McGrath,Pradeep Sangwan,Farveez Maharoof,Yo Mahesh,Tillakaratne Dilshan,Amit Mishra,Gautam Gambhir,Shikhar Dhawan,Manoj Tiwary,AB de Villiers (wk),Virender Sehwag (c),1,23.0,0
35,2008,36,2008-05-14,36th match,Mumbai Indians,Chennai Super Kings,Mumbai,Wankhede Stadium,Mumbai Indians,bowl,Albie Morkel,MS Dhoni (c & wk),Chamara Kapugedera,Suresh Raina,S Badrinath,Vidyut Sivaramakrishnan,Stephen Fleming,Lakshmipathy Balaji, Muttiah Muralitharan, Manpreet Gony, Joginder Sharma,Sanath Jayasuriya,Robin Uthappa,Sachin Tendulkar (c),Rohan Raje, Ashish Nehra, Yogesh Takawale, Dwayne Bravo, Dominic Thornely, Dhawal Kulkarni, Shaun Pollock, Abhishek Nayar,1,0,9.0
36,2008,37,2008-05-15,37th match,Delhi Daredevils,Deccan Chargers,Delhi,Feroz Shah Kotla,Deccan Chargers,bowl,Manoj Tiwary,Tillakaratne Dilshan,Farveez Maharoof,Shikhar Dhawan,Gautam Gambhir,Virender Sehwag (c),Mohammad Asif, Glenn McGrath, Rajat Bhatia, Amit Mishra, Dinesh Karthik,Sarvesh Kumar,Pragyan Ojha,RP Singh,Dwaraka Ravi Teja,Venugopal Rao,Scott Styris,Adam Gilchrist (c & wk),Paidikalva Vijaykumar,Rohit Sharma,Herschelle Gibbs,Shahid Afridi,1,12.0,0
37,2008,38,2008-05-16,38th match,Mumbai Indians,Kolkata Knight Riders,Mumbai,Wankhede Stadium,Mumbai Indians,bowl,Ishant Sharma,Ashok Dinda,Ajit Agarkar,Laxmi Shukla,Wriddhiman Saha (wk),Mohammad Hafeez,Sourav Ganguly (c),David Hussey,Aakash Chopra,Salman Butt,Shoaib Akhtar,Sachin Tendulkar (c),Sanath Jayasuriya,Robin Uthappa,Dominic Thornely,Ashish Nehra, Yogesh Takawale, Rohan Raje, Rajesh Pawar, Dwayne Bravo, Shaun Pollock, Abhishek Nayar,1,0,8.0
38,2008,39,2008-05-17,39th match,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,Sawai Mansingh Stadium,Royal Challengers Bangalore,bowl,Shane Watson,Graeme Smith,Swapnil Asnodkar,Munaf Patel, Siddharth Trivedi, Mahesh Rawat, Ravindra Jadeja, Shane Warne, Sohail Tanvir, Mohammad Kaif, Yusuf Pathan,Abdur Razzak,Zaheer Khan,Anil Kumble,Praveen Kumar,Devraj Patil (wk),Jagadeesh Arunkumar,Cameron White,Jacques Kallis,Rahul Dravid (c),Misbah-ul-Haq,Virat Kohli,1,65.0,0
39,2008,40,2008-05-17,40th match,Delhi Daredevils,Kings XI Punjab,Delhi,Feroz Shah Kotla,Delhi Daredevils,bat,Shoaib Malik,Farveez Maharoof,Shikhar Dhawan,Tillakaratne Dilshan,Virender Sehwag (c),Gautam Gambhir,Rajat Bhatia, Dinesh Karthik, Pradeep Sangwan, Glenn McGrath, Amit Mishra,Mahela Jayawardene,Luke Pomersbach,Yuvraj Singh (c),James Hopes,Shaun Marsh,Irfan Pathan, Ramesh Powar, Piyush Chawla, Uday Kaul, S Sreesanth, Vikram Singh,0,6.0,0
