,season,team1,team2,winner
521,2016,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions
522,2016,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
523,2016,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
524,2016,Mumbai Indians,Gujarat Lions,Gujarat Lions
525,2016,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab
526,2016,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
527,2016,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
528,2016,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
529,2016,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
530,2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
531,2016,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore
532,2016,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
533,2016,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
534,2016,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions
535,2016,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders
536,2016,Kings XI Punjab,Mumbai Indians,Mumbai Indians
537,2016,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiants
538,2016,Delhi Daredevils,Gujarat Lions,Gujarat Lions
539,2016,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
540,2016,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions
541,2016,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
542,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
543,2016,Gujarat Lions,Kings XI Punjab,Kings XI Punjab
544,2016,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians
545,2016,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
546,2016,Gujarat Lions,Delhi Daredevils,Delhi Daredevils
547,2016,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
548,2016,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiants
549,2016,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad
550,2016,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore
551,2016,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
552,2016,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
553,2016,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions
554,2016,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
555,2016,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad
556,2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
557,2016,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils
558,2016,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
559,2016,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore
560,2016,Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders
561,2016,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
562,2016,Mumbai Indians,Delhi Daredevils,Mumbai Indians
563,2016,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
564,2016,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiants
565,2016,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
566,2016,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions
567,2016,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils
568,2016,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiants
569,2016,Gujarat Lions,Mumbai Indians,Gujarat Lions
570,2016,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
571,2016,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
572,2016,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore
573,2016,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
574,2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
575,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
576,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
577,2017,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant
578,2017,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders
579,2017,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab
580,2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
581,2017,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad
582,2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
583,2017,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
584,2017,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils
585,2017,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
586,2017,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
587,2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
588,2017,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions
589,2017,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
590,2017,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
591,2017,Mumbai Indians,Gujarat Lions,Mumbai Indians
592,2017,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant
593,2017,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
594,2017,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
595,2017,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore
596,2017,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
597,2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians
598,2017,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions
599,2017,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant
600,2017,Mumbai Indians,Delhi Daredevils,Mumbai Indians
601,2017,Gujarat Lions,Kings XI Punjab,Kings XI Punjab
602,2017,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
603,2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant
604,2017,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders
605,2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions
606,2017,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
607,2017,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
608,2017,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant
609,2017,Gujarat Lions,Mumbai Indians,False
610,2017,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
611,2017,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
612,2017,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
613,2017,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant
614,2017,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils
615,2017,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant
616,2017,Delhi Daredevils,Gujarat Lions,Delhi Daredevils
617,2017,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
618,2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant
